location,BHK,sqft,price
1st Block Jayanagar,4,2850.0,428.0
1st Block Jayanagar,3,1630.0,194.0
1st Block Jayanagar,6,1200.0,125.0
1st Block Jayanagar,3,1875.0,235.0
1st Block Jayanagar,3,930.0,85.0
1st Block Jayanagar,3,700.0,104.0
1st Block Jayanagar,3,1200.0,130.0
1st Block Jayanagar,2,1235.0,148.0
1st Block Jayanagar,4,2750.0,413.0
1st Block Jayanagar,4,2450.0,368.0
1st Phase JP Nagar,4,2825.0,250.0
1st Phase JP Nagar,3,1875.0,167.0
1st Phase JP Nagar,5,1500.0,85.0
1st Phase JP Nagar,3,2065.0,210.0
1st Phase JP Nagar,3,2024.0,157.0
1st Phase JP Nagar,3,2059.0,225.0
1st Phase JP Nagar,2,1394.0,100.0
1st Phase JP Nagar,2,1077.0,93.0
1st Phase JP Nagar,2,1566.0,180.0
1st Phase JP Nagar,1,840.0,50.0
1st Phase JP Nagar,3,1590.0,131.0
1st Phase JP Nagar,3,2180.0,210.0
1st Phase JP Nagar,2,1180.0,88.5
1st Phase JP Nagar,2,1200.0,86.0
1st Phase JP Nagar,2,1394.0,85.0
1st Phase JP Nagar,3,2077.0,175.0
1st Phase JP Nagar,4,4550.0,240.0
1st Phase JP Nagar,2,1205.0,85.0
1st Phase JP Nagar,4,2615.0,222.0
1st Phase JP Nagar,2,900.0,75.0
2nd Phase Judicial Layout,3,1450.0,50.75
2nd Phase Judicial Layout,2,1150.0,40.25
2nd Phase Judicial Layout,3,1350.0,47.25
2nd Phase Judicial Layout,3,1350.0,47.25
2nd Phase Judicial Layout,2,900.0,41.0
2nd Phase Judicial Layout,3,1681.0,69.0
2nd Phase Judicial Layout,3,1350.0,47.25
2nd Phase Judicial Layout,2,1150.0,40.25
2nd Stage Nagarbhavi,4,1500.0,220.0
2nd Stage Nagarbhavi,6,3000.0,451.0
2nd Stage Nagarbhavi,6,2400.0,450.0
2nd Stage Nagarbhavi,4,1200.0,245.0
2nd Stage Nagarbhavi,4,1350.0,200.0
2nd Stage Nagarbhavi,5,1200.0,240.0
2nd Stage Nagarbhavi,4,600.0,95.0
2nd Stage Nagarbhavi,3,600.0,100.0
2nd Stage Nagarbhavi,4,1200.0,225.0
2nd Stage Nagarbhavi,4,600.0,125.0
2nd Stage Nagarbhavi,5,1200.0,240.0
2nd Stage Nagarbhavi,5,1200.0,240.0
2nd Stage Nagarbhavi,5,1200.0,240.0
2nd Stage Nagarbhavi,5,1200.0,240.0
2nd Stage Nagarbhavi,4,1500.0,230.0
2nd Stage Nagarbhavi,4,600.0,84.0
2nd Stage Nagarbhavi,4,600.0,82.0
2nd Stage Nagarbhavi,6,1500.0,233.0
2nd Stage Nagarbhavi,5,1200.0,240.0
5th Block Hbr Layout,2,1206.0,56.0
5th Block Hbr Layout,3,1270.0,70.0
5th Block Hbr Layout,5,1200.0,220.0
5th Block Hbr Layout,4,1200.0,205.0
5th Block Hbr Layout,2,1312.0,69.0
5th Block Hbr Layout,5,1200.0,205.0
5th Block Hbr Layout,6,5100.0,300.0
5th Block Hbr Layout,5,1200.0,205.0
5th Phase JP Nagar,2,1075.0,60.0
5th Phase JP Nagar,2,1150.0,52.5
5th Phase JP Nagar,2,1070.0,39.0
5th Phase JP Nagar,2,1256.0,62.8
5th Phase JP Nagar,2,1207.0,63.0
5th Phase JP Nagar,3,1725.0,100.0
5th Phase JP Nagar,2,1440.0,60.0
5th Phase JP Nagar,3,1400.0,88.0
5th Phase JP Nagar,2,1450.0,58.0
5th Phase JP Nagar,3,1700.0,100.0
5th Phase JP Nagar,3,1485.0,67.0
5th Phase JP Nagar,5,2500.0,110.0
5th Phase JP Nagar,1,600.0,30.0
5th Phase JP Nagar,2,1390.0,65.0
5th Phase JP Nagar,2,1256.0,62.8
5th Phase JP Nagar,2,1220.0,88.0
5th Phase JP Nagar,2,1000.0,48.0
5th Phase JP Nagar,3,1350.0,75.0
5th Phase JP Nagar,1,552.0,23.5
5th Phase JP Nagar,2,1200.0,51.0
5th Phase JP Nagar,3,1240.0,60.0
5th Phase JP Nagar,3,1550.0,75.0
5th Phase JP Nagar,3,1485.0,66.0
5th Phase JP Nagar,2,1030.0,57.0
5th Phase JP Nagar,2,1200.0,68.0
5th Phase JP Nagar,2,1190.0,61.8
5th Phase JP Nagar,5,4000.0,170.0
5th Phase JP Nagar,2,1080.0,53.0
5th Phase JP Nagar,2,1041.0,54.0
5th Phase JP Nagar,2,812.0,42.0
5th Phase JP Nagar,2,1010.0,57.0
5th Phase JP Nagar,3,1450.0,73.0
5th Phase JP Nagar,3,2500.0,95.0
5th Phase JP Nagar,2,1075.0,60.0
5th Phase JP Nagar,4,2400.0,228.0
6th Phase JP Nagar,2,1192.0,74.0
6th Phase JP Nagar,2,1180.0,80.0
6th Phase JP Nagar,4,3245.0,250.0
6th Phase JP Nagar,3,1645.0,100.0
6th Phase JP Nagar,2,1280.0,56.0
6th Phase JP Nagar,2,1140.0,65.0
6th Phase JP Nagar,3,1650.0,135.0
6th Phase JP Nagar,3,2040.0,200.0
6th Phase JP Nagar,2,1213.0,63.0
6th Phase JP Nagar,3,1350.0,58.0
6th Phase JP Nagar,2,1170.0,120.0
6th Phase JP Nagar,2,1216.0,60.0
6th Phase JP Nagar,2,1460.0,80.0
6th Phase JP Nagar,3,2003.0,200.0
6th Phase JP Nagar,3,1810.0,131.0
6th Phase JP Nagar,3,1515.0,135.0
6th Phase JP Nagar,2,1192.0,75.0
6th Phase JP Nagar,2,1280.0,88.0
7th Phase JP Nagar,2,1080.0,72.0
7th Phase JP Nagar,2,1270.0,93.0
7th Phase JP Nagar,3,1420.0,100.0
7th Phase JP Nagar,3,1850.0,150.0
7th Phase JP Nagar,2,1245.0,94.0
7th Phase JP Nagar,2,1175.0,82.0
7th Phase JP Nagar,3,1400.0,95.0
7th Phase JP Nagar,3,2225.0,160.0
7th Phase JP Nagar,2,1050.0,71.0
7th Phase JP Nagar,2,1100.0,46.0
7th Phase JP Nagar,2,918.0,50.49
7th Phase JP Nagar,3,1450.0,100.0
7th Phase JP Nagar,2,1070.0,42.79
7th Phase JP Nagar,2,1190.0,49.98
7th Phase JP Nagar,3,1420.0,96.0
7th Phase JP Nagar,3,1680.0,120.0
7th Phase JP Nagar,2,1050.0,42.0
7th Phase JP Nagar,2,980.0,69.0
7th Phase JP Nagar,2,1035.0,41.39
7th Phase JP Nagar,2,1370.0,56.17
7th Phase JP Nagar,2,1180.0,72.0
7th Phase JP Nagar,6,5080.0,450.0
7th Phase JP Nagar,3,1300.0,52.0
7th Phase JP Nagar,3,1050.0,57.0
7th Phase JP Nagar,3,1343.0,56.41
7th Phase JP Nagar,3,1405.0,59.01
7th Phase JP Nagar,3,1400.0,115.0
7th Phase JP Nagar,2,1075.0,42.99
7th Phase JP Nagar,2,1100.0,44.0
7th Phase JP Nagar,2,1270.0,83.0
7th Phase JP Nagar,4,3300.0,150.0
7th Phase JP Nagar,4,2503.0,188.0
7th Phase JP Nagar,3,2200.0,190.0
7th Phase JP Nagar,3,1250.0,65.0
7th Phase JP Nagar,2,1050.0,42.0
7th Phase JP Nagar,3,1385.0,58.17
7th Phase JP Nagar,3,1575.0,110.0
7th Phase JP Nagar,3,1850.0,140.0
7th Phase JP Nagar,3,1370.0,54.79
7th Phase JP Nagar,3,1370.0,54.79
7th Phase JP Nagar,3,1300.0,52.0
7th Phase JP Nagar,3,1575.0,120.0
7th Phase JP Nagar,3,1850.0,150.0
7th Phase JP Nagar,3,1680.0,120.0
7th Phase JP Nagar,2,1175.0,82.5
7th Phase JP Nagar,3,3300.0,160.0
7th Phase JP Nagar,3,2200.0,105.0
7th Phase JP Nagar,2,1215.0,90.0
7th Phase JP Nagar,2,1050.0,75.0
7th Phase JP Nagar,3,1300.0,89.13
7th Phase JP Nagar,2,1130.0,73.0
7th Phase JP Nagar,3,1450.0,100.0
7th Phase JP Nagar,3,1350.0,58.0
7th Phase JP Nagar,2,1050.0,50.0
7th Phase JP Nagar,2,1275.0,87.0
7th Phase JP Nagar,3,1460.0,70.0
7th Phase JP Nagar,3,1650.0,110.0
7th Phase JP Nagar,2,850.0,42.0
7th Phase JP Nagar,3,1680.0,117.0
7th Phase JP Nagar,3,1850.0,150.0
7th Phase JP Nagar,2,1236.0,61.33
7th Phase JP Nagar,2,1000.0,53.0
7th Phase JP Nagar,3,1680.0,125.0
7th Phase JP Nagar,3,1675.0,135.0
7th Phase JP Nagar,2,1187.0,59.0
7th Phase JP Nagar,3,1850.0,155.0
7th Phase JP Nagar,2,1000.0,61.0
7th Phase JP Nagar,3,1460.0,100.0
7th Phase JP Nagar,3,1650.0,110.0
7th Phase JP Nagar,2,1200.0,62.5
7th Phase JP Nagar,2,1000.0,70.65
7th Phase JP Nagar,2,1070.0,42.0
7th Phase JP Nagar,2,1080.0,75.0
7th Phase JP Nagar,3,1415.0,65.0
7th Phase JP Nagar,3,1680.0,125.0
7th Phase JP Nagar,2,1040.0,41.59
7th Phase JP Nagar,2,1100.0,44.0
7th Phase JP Nagar,3,1460.0,97.0
7th Phase JP Nagar,2,1120.0,65.0
7th Phase JP Nagar,2,1100.0,60.0
7th Phase JP Nagar,3,1790.0,120.0
7th Phase JP Nagar,3,1680.0,117.0
7th Phase JP Nagar,2,1050.0,77.0
7th Phase JP Nagar,2,1174.0,47.0
7th Phase JP Nagar,2,1050.0,75.0
7th Phase JP Nagar,2,1040.0,75.0
7th Phase JP Nagar,3,1400.0,95.0
7th Phase JP Nagar,3,1800.0,130.0
7th Phase JP Nagar,2,1050.0,68.0
7th Phase JP Nagar,3,1400.0,57.0
7th Phase JP Nagar,2,1000.0,60.0
7th Phase JP Nagar,3,1680.0,125.0
7th Phase JP Nagar,2,980.0,86.0
7th Phase JP Nagar,3,1370.0,54.79
7th Phase JP Nagar,2,1050.0,77.47
7th Phase JP Nagar,2,1270.0,80.0
7th Phase JP Nagar,3,1463.0,61.45
7th Phase JP Nagar,3,1680.0,122.0
7th Phase JP Nagar,2,1070.0,42.79
7th Phase JP Nagar,2,1130.0,85.0
7th Phase JP Nagar,3,1680.0,130.0
7th Phase JP Nagar,3,1300.0,52.0
7th Phase JP Nagar,3,2980.0,260.0
7th Phase JP Nagar,2,980.0,77.44
7th Phase JP Nagar,3,1680.0,112.0
7th Phase JP Nagar,3,1515.0,76.0
7th Phase JP Nagar,3,2095.0,150.0
7th Phase JP Nagar,3,1370.0,54.79
7th Phase JP Nagar,3,1976.0,145.0
7th Phase JP Nagar,3,1600.0,110.0
7th Phase JP Nagar,3,1765.0,118.0
7th Phase JP Nagar,3,1275.0,88.0
7th Phase JP Nagar,3,1450.0,102.0
7th Phase JP Nagar,3,1575.0,110.0
7th Phase JP Nagar,3,1075.0,57.0
7th Phase JP Nagar,1,750.0,47.0
7th Phase JP Nagar,2,1050.0,42.0
7th Phase JP Nagar,2,990.0,50.0
7th Phase JP Nagar,1,1000.0,60.0
7th Phase JP Nagar,3,1680.0,92.0
7th Phase JP Nagar,2,1100.0,44.0
7th Phase JP Nagar,3,1430.0,102.0
7th Phase JP Nagar,2,1128.0,60.0
7th Phase JP Nagar,3,2100.0,190.0
7th Phase JP Nagar,2,1140.0,57.0
7th Phase JP Nagar,3,1420.0,90.0
7th Phase JP Nagar,2,1530.0,108.0
8th Phase JP Nagar,2,1073.5,54.005
8th Phase JP Nagar,1,451.0,29.9
8th Phase JP Nagar,3,1240.0,43.5
8th Phase JP Nagar,2,1062.0,42.47
8th Phase JP Nagar,3,1230.0,43.5
8th Phase JP Nagar,3,1455.0,73.31
8th Phase JP Nagar,2,871.0,55.0
8th Phase JP Nagar,2,1098.0,43.91
8th Phase JP Nagar,3,1800.0,80.0
8th Phase JP Nagar,4,2700.0,130.0
8th Phase JP Nagar,2,1080.0,38.0
8th Phase JP Nagar,2,1059.0,34.5
8th Phase JP Nagar,2,1080.0,35.0
8th Phase JP Nagar,3,1275.0,41.5
8th Phase JP Nagar,2,1062.0,42.47
8th Phase JP Nagar,1,500.0,31.0
8th Phase JP Nagar,2,1100.0,35.0
8th Phase JP Nagar,4,2100.0,92.0
8th Phase JP Nagar,2,1035.0,39.33
8th Phase JP Nagar,2,909.0,40.9
8th Phase JP Nagar,3,1431.5,72.02
8th Phase JP Nagar,3,1900.0,90.0
8th Phase JP Nagar,1,500.0,30.0
8th Phase JP Nagar,2,1125.0,36.94
8th Phase JP Nagar,4,1200.0,110.0
8th Phase JP Nagar,2,1100.0,35.0
8th Phase JP Nagar,2,1089.0,43.55
8th Phase JP Nagar,3,1605.0,65.0
8th Phase JP Nagar,3,1504.0,83.0
8th Phase JP Nagar,4,2600.0,115.0
8th Phase JP Nagar,3,1368.0,54.71
8th Phase JP Nagar,2,1089.0,43.55
8th Phase JP Nagar,3,1224.0,48.95
8th Phase JP Nagar,2,1513.0,62.0
8th Phase JP Nagar,2,1298.0,59.0
8th Phase JP Nagar,2,1006.0,44.0
8th Phase JP Nagar,1,500.0,33.0
8th Phase JP Nagar,2,1160.0,95.0
8th Phase JP Nagar,2,1245.0,59.0
8th Phase JP Nagar,2,1510.0,80.0
8th Phase JP Nagar,3,3300.0,165.0
8th Phase JP Nagar,5,1730.0,75.0
8th Phase JP Nagar,3,1296.0,51.83
8th Phase JP Nagar,3,1275.0,45.0
8th Phase JP Nagar,2,1046.0,48.0
8th Phase JP Nagar,3,1269.0,50.75
8th Phase JP Nagar,3,1408.0,80.0
8th Phase JP Nagar,3,1500.0,55.0
9th Phase JP Nagar,2,1005.0,50.0
9th Phase JP Nagar,3,1890.0,85.0
9th Phase JP Nagar,2,1100.0,65.0
9th Phase JP Nagar,2,1080.0,37.0
9th Phase JP Nagar,2,1035.0,45.0
9th Phase JP Nagar,4,5000.0,290.0
9th Phase JP Nagar,2,1164.0,56.0
9th Phase JP Nagar,2,1005.0,42.0
9th Phase JP Nagar,4,3500.0,300.0
9th Phase JP Nagar,2,1127.0,50.0
9th Phase JP Nagar,2,1005.0,43.0
9th Phase JP Nagar,2,835.0,37.0
9th Phase JP Nagar,2,1050.0,39.0
9th Phase JP Nagar,2,660.0,27.0
9th Phase JP Nagar,1,600.0,20.0
9th Phase JP Nagar,2,1466.0,71.0
9th Phase JP Nagar,3,1890.0,93.0
9th Phase JP Nagar,2,1079.0,60.0
9th Phase JP Nagar,2,1480.0,80.0
9th Phase JP Nagar,2,1200.0,80.0
9th Phase JP Nagar,2,905.0,32.0
9th Phase JP Nagar,2,1073.0,52.36
9th Phase JP Nagar,3,1719.3,88.0
9th Phase JP Nagar,3,1780.0,88.0
9th Phase JP Nagar,3,1300.0,58.0
9th Phase JP Nagar,3,1522.0,90.0
9th Phase JP Nagar,3,1571.0,65.0
9th Phase JP Nagar,4,1900.0,80.0
9th Phase JP Nagar,2,890.0,45.0
9th Phase JP Nagar,3,1240.0,39.89
9th Phase JP Nagar,4,5000.0,300.0
9th Phase JP Nagar,3,1240.0,42.85
9th Phase JP Nagar,2,1050.0,35.0
9th Phase JP Nagar,2,1331.95,69.0
AECS Layout,2,1100.0,45.0
AECS Layout,2,1028.0,42.0
AECS Layout,2,1199.0,65.0
AECS Layout,2,1080.0,55.0
AECS Layout,2,1123.0,64.0
AECS Layout,2,1308.0,60.0
AECS Layout,2,1005.0,55.0
AECS Layout,3,2000.0,90.0
Abbigere,2,985.0,40.39
Abbigere,6,2200.0,68.0
Abbigere,1,765.0,30.0
Abbigere,2,880.0,35.0
Abbigere,2,795.0,32.54
Abbigere,2,1005.0,39.59
Abbigere,1,734.0,19.82
Abbigere,3,1260.0,45.0
Abbigere,2,1020.0,41.82
Abbigere,2,985.0,40.39
Abbigere,6,2500.0,81.0
Abbigere,2,795.0,32.54
Abbigere,2,1130.0,46.33
Abbigere,2,795.0,32.6
Abbigere,3,3000.0,150.0
Abbigere,2,985.0,38.92
Abbigere,2,1000.0,41.0
Abbigere,2,995.0,40.8
Abbigere,2,1020.0,40.8
Akshaya Nagar,2,1388.0,57.0
Akshaya Nagar,2,1070.0,54.0
Akshaya Nagar,2,1280.0,58.0
Akshaya Nagar,3,1662.0,85.1
Akshaya Nagar,3,1897.0,120.0
Akshaya Nagar,3,1410.0,75.0
Akshaya Nagar,3,1360.0,85.0
Akshaya Nagar,3,1600.0,65.0
Akshaya Nagar,3,1410.0,80.0
Akshaya Nagar,3,1662.0,85.0
Akshaya Nagar,4,1080.0,75.0
Akshaya Nagar,3,1662.0,85.5
Akshaya Nagar,2,1280.0,60.0
Akshaya Nagar,3,1666.0,95.0
Akshaya Nagar,3,1575.0,90.0
Akshaya Nagar,3,1430.0,75.0
Akshaya Nagar,3,1419.0,73.0
Akshaya Nagar,2,1280.0,60.0
Akshaya Nagar,2,1200.0,50.0
Akshaya Nagar,2,1092.0,60.0
Akshaya Nagar,3,1690.0,85.0
Akshaya Nagar,3,1700.0,80.0
Akshaya Nagar,3,1897.0,93.0
Akshaya Nagar,3,1884.0,98.0
